alabama
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Franklin County	$1,201	$1,411	$1,487	$1,658	$1,685
Fremont County	$1,427	$1,676	$1,766	$1,969	$2,001
Greene County	$1,280	$1,503	$1,584	$1,766	$1,795
Grundy County	$1,522	$1,788	$1,884	$2,101	$2,135
Guthrie County	$1,530	$1,797	$1,894	$2,112	$2,146
Hamilton County	$1,317	$1,547	$1,630	$1,817	$1,847
Hancock County	$1,283	$1,507	$1,588	$1,771	$1,799
Hardin County	$1,325	$1,556	$1,640	$1,829	$1,858
Harrison County	$1,442	$1,694	$1,785	$1,990	$2,022
Henry County	$1,399	$1,644	$1,732	$1,931	$1,962
Howard County	$1,315	$1,544	$1,627	$1,814	$1,843
Humboldt County	$1,338	$1,572	$1,656	$1,846	$1,876
Ida County	$1,230	$1,444	$1,522	$1,697	$1,724
Iowa County	$1,601	$1,880	$1,981	$2,209	$2,244
Jackson County	$1,458	$1,712	$1,804	$2,011	$2,044
Jasper County	$1,485	$1,744	$1,838	$2,049	$2,082
Jefferson County	$1,460	$1,715	$1,807	$2,015	$2,047
Johnson County	$1,957	$2,298	$2,422	$2,701	$2,744
Jones County	$1,509	$1,772	$1,867	$2,082	$2,115
Keokuk County	$1,326	$1,557	$1,641	$1,830	$1,859
Kossuth County	$1,327	$1,558	$1,642	$1,831	$1,860
Lee County	$1,370	$1,610	$1,696	$1,891	$1,922
Linn County	$1,623	$1,907	$2,009	$2,240	$2,276
Louisa County	$1,433	$1,684	$1,774	$1,978	$2,010
Lucas County	$1,413	$1,660	$1,749	$1,950	$1,982
Lyon County	$1,438	$1,689	$1,780	$1,985	$2,017
Madison County	$1,847	$2,169	$2,286	$2,549	$2,590
Mahaska County	$1,399	$1,644	$1,732	$1,931	$1,962
Marion County	$1,576	$1,851	$1,951	$2,175	$2,210
Marshall County	$1,380	$1,621	$1,708	$1,904	$1,935
Mills County	$1,644	$1,931	$2,035	$2,269	$2,306
Mitchell County	$1,390	$1,632	$1,720	$1,918	$1,949
Monona County	$1,297	$1,523	$1,605	$1,790	$1,818
Monroe County	$1,321	$1,552	$1,635	$1,823	$1,852
Montgomery County	$1,227	$1,442	$1,519	$1,694	$1,721
Muscatine County	$1,519	$1,784	$1,880	$2,096	$2,130
O'Brien County	$1,426	$1,675	$1,765	$1,968	$2,000
Osceola County	$1,304	$1,532	$1,614	$1,800	$1,829
Page County	$1,275	$1,498	$1,578	$1,759	$1,788
Palo Alto County	$1,292	$1,517	$1,599	$1,783	$1,812
Plymouth County	$1,538	$1,807	$1,904	$2,123	$2,157
Pocahontas County	$1,302	$1,529	$1,611	$1,796	$1,825
Polk County	$1,753	$2,058	$2,169	$2,418	$2,457
Pottawattamie County	$1,572	$1,846	$1,945	$2,169	$2,204
Poweshiek County	$1,561	$1,833	$1,932	$2,154	$2,189
Ringgold County	$1,580	$1,855	$1,955	$2,180	$2,215
Sac County	$1,269	$1,491	$1,571	$1,752	$1,780
Scott County	$1,637	$1,923	$2,026	$2,259	$2,295
Shelby County	$1,469	$1,725	$1,818	$2,027	$2,060
Sioux County	$1,591	$1,869	$1,969	$2,195	$2,231
Story County	$1,742	$2,046	$2,156	$2,404	$2,443
Tama County	$1,462	$1,717	$1,809	$2,017	$2,050
Taylor County	$1,306	$1,534	$1,616	$1,802	$1,831
Union County	$1,294	$1,519	$1,601	$1,785	$1,814
Van Buren County	$1,437	$1,688	$1,779	$1,984	$2,016
Wapello County	$1,319	$1,549	$1,632	$1,820	$1,849
Warren County	$1,770	$2,079	$2,191	$2,443	$2,482
Washington County	$1,660	$1,949	$2,054	$2,290	$2,327
Wayne County	$1,285	$1,509	$1,590	$1,773	$1,801
Webster County	$1,338	$1,572	$1,656	$1,846	$1,876
Winnebago County	$1,381	$1,622	$1,709	$1,906	$1,936
Winneshiek County	$1,628	$1,912	$2,015	$2,247	$2,283
Woodbury County	$1,475	$1,732	$1,825	$2,035	$2,068
Worth County	$1,290	$1,516	$1,597	$1,781	$1,809
Wright County	$1,180	$1,386	$1,460	$1,628	$1,654


kansas
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Allen County	$1,334	$1,567	$1,651	$1,841	$1,871
Anderson County	$1,484	$1,743	$1,837	$2,048	$2,081
Atchison County	$1,515	$1,779	$1,875	$2,091	$2,124
Barber County	$1,345	$1,580	$1,665	$1,856	$1,886
Barton County	$1,440	$1,691	$1,782	$1,987	$2,019
Bourbon County	$1,325	$1,556	$1,640	$1,829	$1,858
Brown County	$1,342	$1,576	$1,661	$1,852	$1,882
Butler County	$1,717	$2,017	$2,125	$2,369	$2,408
Chase County	$1,319	$1,549	$1,632	$1,820	$1,849
Chautauqua County	$1,441	$1,693	$1,784	$1,989	$2,021
Cherokee County	$1,256	$1,476	$1,555	$1,734	$1,762
Cheyenne County	$1,251	$1,469	$1,548	$1,726	$1,754
Clark County	$1,280	$1,503	$1,584	$1,766	$1,795
Clay County	$1,496	$1,758	$1,852	$2,065	$2,098
Cloud County	$1,257	$1,477	$1,556	$1,735	$1,763
Coffey County	$1,431	$1,681	$1,771	$1,975	$2,007
Comanche County	$1,268	$1,489	$1,569	$1,749	$1,778
Cowley County	$1,357	$1,594	$1,680	$1,873	$1,903
Crawford County	$1,373	$1,612	$1,699	$1,894	$1,925
Decatur County	$1,079	$1,268	$1,336	$1,490	$1,514
Dickinson County	$1,498	$1,759	$1,854	$2,067	$2,101
Doniphan County	$1,377	$1,617	$1,704	$1,900	$1,931
Douglas County	$1,866	$2,191	$2,309	$2,575	$2,616
Edwards County	$1,130	$1,327	$1,398	$1,559	$1,584
Elk County	$1,227	$1,442	$1,519	$1,694	$1,721
Ellis County	$1,670	$1,962	$2,067	$2,305	$2,342
Ellsworth County	$1,320	$1,551	$1,634	$1,822	$1,851
Finney County	$1,716	$2,016	$2,124	$2,368	$2,406
Ford County	$1,462	$1,718	$1,810	$2,018	$2,051
Franklin County	$1,676	$1,968	$2,074	$2,313	$2,350
Geary County	$1,671	$1,963	$2,068	$2,306	$2,343
Gove County	$1,437	$1,687	$1,778	$1,982	$2,014
Graham County	$1,408	$1,654	$1,743	$1,943	$1,975
Grant County	$1,399	$1,643	$1,731	$1,930	$1,961
Gray County	$1,546	$1,815	$1,913	$2,133	$2,167
Greeley County	$1,580	$1,856	$1,956	$2,181	$2,216
Greenwood County	$1,218	$1,430	$1,507	$1,680	$1,707
Hamilton County	$1,429	$1,679	$1,769	$1,972	$2,004
Harper County	$1,348	$1,583	$1,668	$1,860	$1,890
Harvey County	$1,564	$1,837	$1,936	$2,159	$2,193
Haskell County	$1,597	$1,875	$1,976	$2,203	$2,239
Hodgeman County	$1,471	$1,728	$1,821	$2,030	$2,063
Jackson County	$1,605	$1,885	$1,986	$2,214	$2,250
Jefferson County	$1,652	$1,940	$2,044	$2,279	$2,316
Jewell County	$1,256	$1,475	$1,554	$1,733	$1,761
Johnson County	$2,144	$2,519	$2,654	$2,959	$3,007
Kearny County	$1,648	$1,936	$2,040	$2,275	$2,311
Kingman County	$1,388	$1,630	$1,718	$1,916	$1,946
Kiowa County	$1,526	$1,792	$1,888	$2,105	$2,139
Labette County	$1,515	$1,779	$1,875	$2,091	$2,124
Lane County	$1,322	$1,553	$1,636	$1,824	$1,854
Leavenworth County	$1,840	$2,161	$2,277	$2,539	$2,580
Lincoln County	$1,391	$1,634	$1,722	$1,920	$1,951
Linn County	$1,465	$1,721	$1,813	$2,021	$2,054
Logan County	$1,361	$1,598	$1,684	$1,878	$1,908
Lyon County	$1,436	$1,686	$1,777	$1,981	$2,013
McPherson County	$1,537	$1,805	$1,902	$2,121	$2,155
Marion County	$1,358	$1,595	$1,681	$1,874	$1,905
Marshall County	$1,378	$1,619	$1,706	$1,902	$1,933
Meade County	$1,539	$1,808	$1,905	$2,124	$2,158
Miami County	$1,866	$2,192	$2,310	$2,576	$2,617
Mitchell County	$1,390	$1,632	$1,720	$1,918	$1,949
Montgomery County	$1,375	$1,615	$1,702	$1,898	$1,928
Morris County	$1,415	$1,662	$1,751	$1,952	$1,984
Morton County	$1,338	$1,572	$1,656	$1,846	$1,876
Nemaha County	$1,568	$1,841	$1,940	$2,163	$2,198
Neosho County	$1,300	$1,527	$1,609	$1,794	$1,823
Ness County	$1,281	$1,505	$1,586	$1,768	$1,797
Norton County	$1,222	$1,435	$1,512	$1,686	$1,713
Osage County	$1,446	$1,698	$1,789	$1,995	$2,027
Osborne County	$1,151	$1,352	$1,425	$1,589	$1,615
Ottawa County	$1,655	$1,944	$2,048	$2,284	$2,320
Pawnee County	$1,368	$1,607	$1,693	$1,888	$1,918
Phillips County	$1,214	$1,426	$1,503	$1,676	$1,703
Pottawatomie County	$1,798	$2,112	$2,225	$2,481	$2,521
Pratt County	$1,375	$1,615	$1,702	$1,898	$1,928
Rawlins County	$1,553	$1,824	$1,922	$2,143	$2,178
Reno County	$1,402	$1,647	$1,735	$1,935	$1,966
Republic County	$1,345	$1,580	$1,665	$1,856	$1,886
Rice County	$1,342	$1,576	$1,661	$1,852	$1,882
Riley County	$1,806	$2,121	$2,235	$2,492	$2,532
Rooks County	$1,245	$1,462	$1,541	$1,718	$1,746
Rush County	$1,182	$1,388	$1,463	$1,631	$1,658
Russell County	$1,507	$1,770	$1,865	$2,079	$2,113
Saline County	$1,450	$1,703	$1,794	$2,000	$2,033
Scott County	$1,378	$1,619	$1,706	$1,902	$1,933
Sedgwick County	$1,607	$1,888	$1,989	$2,218	$2,254
Seward County	$1,570	$1,844	$1,943	$2,166	$2,201
Shawnee County	$1,518	$1,783	$1,879	$2,095	$2,129
Sheridan County	$1,515	$1,779	$1,875	$2,091	$2,124
Sherman County	$1,404	$1,649	$1,738	$1,938	$1,969
Smith County	$1,256	$1,476	$1,555	$1,734	$1,762
Stafford County	$1,387	$1,628	$1,716	$1,913	$1,944
Stanton County	$1,436	$1,686	$1,777	$1,981	$2,013
Stevens County	$1,699	$1,996	$2,103	$2,345	$2,383
Sumner County	$1,542	$1,812	$1,909	$2,129	$2,163
Thomas County	$1,378	$1,619	$1,706	$1,902	$1,933
Trego County	$1,354	$1,591	$1,676	$1,869	$1,899
Wabaunsee County	$1,536	$1,804	$1,901	$2,120	$2,154
Wallace County	$1,399	$1,644	$1,732	$1,931	$1,962
Washington County	$1,305	$1,533	$1,615	$1,801	$1,830
Wichita County	$1,534	$1,801	$1,898	$2,116	$2,150
Wilson County	$1,281	$1,504	$1,585	$1,767	$1,796
Woodson County	$1,443	$1,695	$1,786	$1,991	$2,024
Wyandotte County	$1,559	$1,832	$1,930	$2,152	$2,187


kentucky
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Adair County	$1,221	$1,434	$1,511	$1,685	$1,712
Allen County	$1,337	$1,571	$1,655	$1,845	$1,875
Anderson County	$1,488	$1,748	$1,842	$2,054	$2,087
Ballard County	$1,364	$1,602	$1,688	$1,882	$1,913
Barren County	$1,359	$1,596	$1,682	$1,875	$1,906
Bath County	$1,285	$1,509	$1,590	$1,773	$1,801
Bell County	$1,212	$1,424	$1,500	$1,673	$1,700
Boone County	$1,681	$1,974	$2,080	$2,319	$2,357
Bourbon County	$1,462	$1,718	$1,810	$2,018	$2,051
Boyd County	$1,375	$1,615	$1,702	$1,898	$1,928
Boyle County	$1,412	$1,659	$1,748	$1,949	$1,980
Bracken County	$1,312	$1,541	$1,624	$1,811	$1,840
Breathitt County	$1,249	$1,467	$1,546	$1,724	$1,752
Breckinridge County	$1,328	$1,560	$1,644	$1,833	$1,863
Bullitt County	$1,589	$1,866	$1,966	$2,192	$2,227
Butler County	$1,268	$1,489	$1,569	$1,749	$1,778
Caldwell County	$1,378	$1,618	$1,705	$1,901	$1,932
Calloway County	$1,441	$1,692	$1,783	$1,988	$2,020
Campbell County	$1,654	$1,943	$2,047	$2,282	$2,319
Carlisle County	$1,312	$1,541	$1,624	$1,811	$1,840
Carroll County	$1,326	$1,557	$1,641	$1,830	$1,859
Carter County	$1,349	$1,584	$1,669	$1,861	$1,891
Casey County	$1,273	$1,495	$1,575	$1,756	$1,784
Christian County	$1,409	$1,655	$1,744	$1,945	$1,976
Clark County	$1,450	$1,703	$1,795	$2,001	$2,034
Clay County	$1,175	$1,380	$1,454	$1,621	$1,647
Clinton County	$1,150	$1,350	$1,423	$1,587	$1,612
Crittenden County	$1,190	$1,398	$1,473	$1,642	$1,669
Cumberland County	$1,334	$1,567	$1,651	$1,841	$1,871
Daviess County	$1,479	$1,737	$1,830	$2,040	$2,073
Edmonson County	$1,307	$1,535	$1,617	$1,803	$1,832
Elliott County	$1,327	$1,558	$1,642	$1,831	$1,860
Estill County	$1,241	$1,458	$1,536	$1,713	$1,740
Fayette County	$1,651	$1,939	$2,043	$2,278	$2,315
Fleming County	$1,190	$1,398	$1,473	$1,642	$1,669
Floyd County	$1,330	$1,562	$1,646	$1,835	$1,865
Franklin County	$1,542	$1,812	$1,909	$2,129	$2,163
Fulton County	$1,196	$1,405	$1,480	$1,650	$1,677
Gallatin County	$1,429	$1,678	$1,768	$1,971	$2,003
Garrard County	$1,393	$1,636	$1,724	$1,922	$1,953
Grant County	$1,516	$1,780	$1,876	$2,092	$2,126
Graves County	$1,345	$1,580	$1,665	$1,856	$1,886
Grayson County	$1,308	$1,536	$1,619	$1,805	$1,834
Green County	$1,096	$1,287	$1,356	$1,512	$1,536
Greenup County	$1,385	$1,627	$1,714	$1,911	$1,942
Hancock County	$1,324	$1,555	$1,639	$1,827	$1,857
Hardin County	$1,507	$1,770	$1,865	$2,079	$2,113
Harlan County	$1,160	$1,363	$1,436	$1,601	$1,627
Harrison County	$1,418	$1,665	$1,755	$1,957	$1,988
Hart County	$1,250	$1,468	$1,547	$1,725	$1,753
Henderson County	$1,418	$1,665	$1,755	$1,957	$1,988
Henry County	$1,413	$1,660	$1,749	$1,950	$1,982
Hickman County	$1,404	$1,649	$1,738	$1,938	$1,969
Hopkins County	$1,279	$1,502	$1,583	$1,765	$1,794
Jackson County	$1,235	$1,450	$1,528	$1,704	$1,731
Jefferson County	$1,624	$1,907	$2,010	$2,241	$2,277
Jessamine County	$1,578	$1,853	$1,953	$2,178	$2,213
Johnson County	$1,382	$1,623	$1,710	$1,907	$1,937
Kenton County	$1,589	$1,867	$1,967	$2,193	$2,229
Knott County	$1,286	$1,511	$1,592	$1,775	$1,804
Knox County	$1,226	$1,440	$1,517	$1,691	$1,719
Larue County	$1,371	$1,610	$1,697	$1,892	$1,923
Laurel County	$1,308	$1,536	$1,619	$1,805	$1,834
Lawrence County	$1,297	$1,523	$1,605	$1,790	$1,818
Lee County	$1,157	$1,359	$1,432	$1,597	$1,622
Leslie County	$1,193	$1,401	$1,476	$1,646	$1,672
Letcher County	$1,265	$1,486	$1,566	$1,746	$1,774
Lewis County	$1,096	$1,288	$1,357	$1,513	$1,537
Lincoln County	$1,204	$1,414	$1,490	$1,661	$1,688
Livingston County	$1,302	$1,529	$1,611	$1,796	$1,825
Logan County	$1,391	$1,633	$1,721	$1,919	$1,950
Lyon County	$1,460	$1,715	$1,807	$2,015	$2,047
McCracken County	$1,416	$1,663	$1,752	$1,953	$1,985
McCreary County	$1,191	$1,399	$1,474	$1,644	$1,670
McLean County	$1,306	$1,534	$1,616	$1,802	$1,831
Madison County	$1,521	$1,787	$1,883	$2,100	$2,133
Magoffin County	$1,221	$1,434	$1,511	$1,685	$1,712
Marion County	$1,317	$1,547	$1,630	$1,817	$1,847
Marshall County	$1,395	$1,638	$1,726	$1,924	$1,956
Martin County	$1,397	$1,641	$1,729	$1,928	$1,959
Mason County	$1,436	$1,686	$1,777	$1,981	$2,013
Meade County	$1,453	$1,706	$1,798	$2,005	$2,037
Menifee County	$1,070	$1,256	$1,324	$1,476	$1,500
Mercer County	$1,381	$1,622	$1,709	$1,906	$1,936
Metcalfe County	$1,214	$1,425	$1,502	$1,675	$1,702
Monroe County	$1,273	$1,496	$1,576	$1,757	$1,786
Montgomery County	$1,374	$1,613	$1,700	$1,896	$1,926
Morgan County	$1,328	$1,560	$1,644	$1,833	$1,863
Muhlenberg County	$1,302	$1,529	$1,611	$1,796	$1,825
Nelson County	$1,442	$1,694	$1,785	$1,990	$2,022
Nicholas County	$1,265	$1,486	$1,566	$1,746	$1,774
Ohio County	$1,261	$1,481	$1,561	$1,741	$1,769
Oldham County	$2,144	$2,518	$2,653	$2,958	$3,006
Owen County	$1,494	$1,755	$1,849	$2,062	$2,095
Owsley County	$1,159	$1,361	$1,434	$1,599	$1,625
Pendleton County	$1,399	$1,644	$1,732	$1,931	$1,962
Perry County	$1,341	$1,575	$1,660	$1,851	$1,881
Pike County	$1,392	$1,635	$1,723	$1,921	$1,952
Powell County	$1,203	$1,413	$1,489	$1,660	$1,687
Pulaski County	$1,335	$1,568	$1,652	$1,842	$1,872
Robertson County	$1,317	$1,547	$1,630	$1,817	$1,847
Rockcastle County	$1,188	$1,395	$1,470	$1,639	$1,666
Rowan County	$1,404	$1,649	$1,738	$1,938	$1,969
Russell County	$1,256	$1,475	$1,554	$1,733	$1,761
Scott County	$1,640	$1,926	$2,030	$2,263	$2,300
Shelby County	$1,647	$1,934	$2,038	$2,272	$2,309
Simpson County	$1,385	$1,627	$1,714	$1,911	$1,942
Spencer County	$1,703	$2,000	$2,108	$2,350	$2,388
Taylor County	$1,303	$1,531	$1,613	$1,798	$1,828
Todd County	$1,251	$1,469	$1,548	$1,726	$1,754
Trigg County	$1,481	$1,740	$1,833	$2,044	$2,077
Trimble County	$1,531	$1,798	$1,895	$2,113	$2,147
Union County	$1,366	$1,604	$1,690	$1,884	$1,915
Warren County	$1,546	$1,815	$1,913	$2,133	$2,167
Washington County	$1,214	$1,425	$1,502	$1,675	$1,702
Wayne County	$1,160	$1,363	$1,436	$1,601	$1,627
Webster County	$1,323	$1,554	$1,637	$1,825	$1,855
Whitley County	$1,275	$1,498	$1,578	$1,759	$1,788
Wolfe County	$1,142	$1,341	$1,413	$1,575	$1,601
Woodford County	$1,648	$1,935	$2,039	$2,273	$2,310


louisiana
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Acadia Parish	$1,409	$1,655	$1,744	$1,945	$1,976
Allen Parish	$1,349	$1,584	$1,669	$1,861	$1,891
Ascension Parish	$1,817	$2,134	$2,249	$2,508	$2,548
Assumption Parish	$1,405	$1,650	$1,739	$1,939	$1,970
Avoyelles Parish	$1,252	$1,470	$1,549	$1,727	$1,755
Beauregard Parish	$1,491	$1,751	$1,845	$2,057	$2,090
Bienville Parish	$1,180	$1,386	$1,460	$1,628	$1,654
Bossier Parish	$1,639	$1,926	$2,029	$2,262	$2,299
Caddo Parish	$1,514	$1,778	$1,874	$2,090	$2,123
Calcasieu Parish	$1,542	$1,812	$1,909	$2,129	$2,163
Caldwell Parish	$1,462	$1,718	$1,810	$2,018	$2,051
Cameron Parish	$1,440	$1,691	$1,782	$1,987	$2,019
Catahoula Parish	$1,270	$1,492	$1,572	$1,753	$1,781
Claiborne Parish	$1,117	$1,312	$1,383	$1,542	$1,567
Concordia Parish	$1,270	$1,492	$1,572	$1,753	$1,781
De Soto Parish	$1,404	$1,649	$1,738	$1,938	$1,969
East Baton Rouge Parish	$1,731	$2,033	$2,142	$2,388	$2,427
East Carroll Parish	$1,223	$1,437	$1,514	$1,688	$1,715
East Feliciana Parish	$1,520	$1,785	$1,881	$2,097	$2,131
Evangeline Parish	$1,311	$1,539	$1,622	$1,809	$1,838
Franklin Parish	$1,262	$1,482	$1,562	$1,742	$1,770
Grant Parish	$1,402	$1,647	$1,735	$1,935	$1,966
Iberia Parish	$1,417	$1,665	$1,754	$1,956	$1,987
Iberville Parish	$1,529	$1,796	$1,892	$2,110	$2,144
Jackson Parish	$1,281	$1,504	$1,585	$1,767	$1,796
Jefferson Parish	$1,735	$2,038	$2,147	$2,394	$2,433
Jefferson Davis Parish	$1,412	$1,658	$1,747	$1,948	$1,979
Lafayette Parish	$1,629	$1,913	$2,016	$2,248	$2,284
Lafourche Parish	$1,542	$1,811	$1,908	$2,127	$2,162
La Salle Parish	$1,500	$1,762	$1,857	$2,071	$2,104
Lincoln Parish	$1,589	$1,866	$1,966	$2,192	$2,227
Livingston Parish	$1,647	$1,934	$2,038	$2,272	$2,309
Madison Parish	$1,435	$1,685	$1,776	$1,980	$2,012
Morehouse Parish	$1,338	$1,572	$1,656	$1,846	$1,876
Natchitoches Parish	$1,446	$1,698	$1,789	$1,995	$2,027
Orleans Parish	$2,031	$2,385	$2,513	$2,802	$2,847
Ouachita Parish	$1,527	$1,794	$1,890	$2,107	$2,141
Plaquemines Parish	$1,943	$2,282	$2,405	$2,682	$2,725
Pointe Coupee Parish	$1,618	$1,900	$2,002	$2,232	$2,268
Rapides Parish	$1,526	$1,793	$1,889	$2,106	$2,140
Red River Parish	$1,248	$1,466	$1,545	$1,723	$1,750
Richland Parish	$1,353	$1,590	$1,675	$1,868	$1,898
Sabine Parish	$1,419	$1,666	$1,756	$1,958	$1,990
St. Bernard Parish	$1,409	$1,655	$1,744	$1,945	$1,976
St. Charles Parish	$1,839	$2,160	$2,276	$2,538	$2,579
St. Helena Parish	$1,185	$1,392	$1,467	$1,636	$1,662
St. James Parish	$1,642	$1,928	$2,032	$2,266	$2,302
St. John the Baptist Parish	$1,533	$1,800	$1,897	$2,115	$2,149
St. Landry Parish	$1,371	$1,610	$1,697	$1,892	$1,923
St. Martin Parish	$1,512	$1,776	$1,871	$2,086	$2,120
St. Mary Parish	$1,463	$1,719	$1,811	$2,019	$2,052
St. Tammany Parish	$1,812	$2,128	$2,242	$2,500	$2,540
Tangipahoa Parish	$1,526	$1,792	$1,888	$2,105	$2,139
Tensas Parish	$1,170	$1,374	$1,448	$1,615	$1,641
Terrebonne Parish	$1,594	$1,872	$1,973	$2,200	$2,235
Union Parish	$1,333	$1,566	$1,650	$1,840	$1,869
Vermilion Parish	$1,513	$1,777	$1,873	$2,088	$2,122
Vernon Parish	$1,489	$1,749	$1,843	$2,055	$2,088
Washington Parish	$1,338	$1,572	$1,656	$1,846	$1,876
Webster Parish	$1,304	$1,532	$1,614	$1,800	$1,829
West Baton Rouge Parish	$1,634	$1,919	$2,022	$2,255	$2,291
West Carroll Parish	$1,335	$1,568	$1,652	$1,842	$1,872
West Feliciana Parish	$1,737	$2,040	$2,150	$2,397	$2,436
Winn Parish	$1,268	$1,489	$1,569	$1,749	$1,778


maine
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Androscoggin County	$1,652	$1,940	$2,044	$2,279	$2,316
Aroostook County	$1,305	$1,533	$1,615	$1,801	$1,830
Cumberland County	$2,089	$2,453	$2,585	$2,882	$2,929
Franklin County	$1,405	$1,650	$1,739	$1,939	$1,970
Hancock County	$1,619	$1,902	$2,004	$2,234	$2,271
Kennebec County	$1,550	$1,820	$1,918	$2,139	$2,173
Knox County	$1,738	$2,041	$2,151	$2,398	$2,437
Lincoln County	$1,644	$1,931	$2,035	$2,269	$2,306
Oxford County	$1,458	$1,712	$1,804	$2,011	$2,044
Penobscot County	$1,575	$1,850	$1,949	$2,173	$2,208
Piscataquis County	$1,405	$1,650	$1,739	$1,939	$1,970
Sagadahoc County	$1,810	$2,126	$2,240	$2,498	$2,538
Somerset County	$1,370	$1,609	$1,695	$1,890	$1,920
Waldo County	$1,553	$1,824	$1,922	$2,143	$2,178
Washington County	$1,374	$1,614	$1,701	$1,897	$1,927
York County	$1,941	$2,279	$2,402	$2,678	$2,721


maryland
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Allegany County	$1,345	$1,579	$1,664	$1,855	$1,885
Anne Arundel County	$2,345	$2,754	$2,902	$3,236	$3,288
Baltimore County	$1,984	$2,330	$2,455	$2,737	$2,782
Calvert County	$2,334	$2,742	$2,889	$3,221	$3,273
Caroline County	$1,774	$2,084	$2,196	$2,449	$2,488
Carroll County	$2,216	$2,602	$2,742	$3,057	$3,107
Cecil County	$2,028	$2,382	$2,510	$2,799	$2,844
Charles County	$2,435	$2,859	$3,013	$3,359	$3,414
Dorchester County	$1,751	$2,056	$2,167	$2,416	$2,455
Frederick County	$2,346	$2,755	$2,903	$3,237	$3,289
Garrett County	$1,676	$1,968	$2,074	$2,313	$2,350
Harford County	$2,070	$2,431	$2,562	$2,857	$2,903
Howard County	$2,777	$3,262	$3,437	$3,832	$3,894
Kent County	$1,885	$2,214	$2,333	$2,601	$2,643
Montgomery County	$2,810	$3,301	$3,478	$3,878	$3,941
Prince George's County	$2,384	$2,800	$2,950	$3,289	$3,342
Queen Anne's County	$2,338	$2,745	$2,893	$3,226	$3,278
St. Mary's County	$2,239	$2,630	$2,771	$3,090	$3,140
Somerset County	$1,523	$1,789	$1,885	$2,102	$2,136
Talbot County	$2,110	$2,478	$2,611	$2,911	$2,958
Washington County	$1,803	$2,117	$2,231	$2,488	$2,528
Wicomico County	$1,689	$1,983	$2,090	$2,330	$2,368
Worcester County	$1,869	$2,195	$2,313	$2,579	$2,621
Baltimore city	$1,749	$2,055	$2,165	$2,414	$2,453


massachusetts
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Barnstable County	$2,334	$2,742	$2,889	$3,221	$3,273
Berkshire County	$1,831	$2,150	$2,266	$2,527	$2,567
Bristol County	$2,291	$2,691	$2,836	$3,162	$3,213
Dukes County	$3,110	$3,653	$3,849	$4,292	$4,361
Essex County	$2,753	$3,233	$3,407	$3,799	$3,860
Franklin County	$1,926	$2,262	$2,384	$2,658	$2,701
Hampden County	$1,931	$2,268	$2,390	$2,665	$2,708
Hampshire County	$2,201	$2,585	$2,724	$3,037	$3,086
Middlesex County	$3,026	$3,554	$3,745	$4,176	$4,243
Nantucket County	$3,634	$4,268	$4,497	$5,014	$5,095
Norfolk County	$2,976	$3,495	$3,683	$4,107	$4,173
Plymouth County	$2,671	$3,137	$3,306	$3,686	$3,746
Suffolk County	$2,813	$3,303	$3,481	$3,881	$3,944
Worcester County	$2,281	$2,679	$2,823	$3,148	$3,198


michigan
County	2024 Published ALE Housing Expense for a Family of 1	2024 Published ALE Housing Expense for a Family of 2	2024 Published ALE Housing Expense for a Family of 3	2024 Published ALE Housing Expense for a Family of 4	2024 Published ALE Housing Expense for a Family of 5
Alcona County	$1,227	$1,441	$1,518	$1,693	$1,720
Alger County	$1,348	$1,583	$1,668	$1,860	$1,890
Allegan County	$1,544	$1,814	$1,911	$2,131	$2,165
Alpena County	$1,244	$1,461	$1,539	$1,716	$1,744
Antrim County	$1,433	$1,684	$1,774	$1,978	$2,010
Arenac County	$1,287	$1,512	$1,593	$1,776	$1,805
Baraga County	$1,302	$1,530	$1,612	$1,797	$1,826
